feature,mean_abs_shap
nc_NsssCH,0.1742104150675803
c_ATSC1p,0.17300629372270948
c_PEOE_VSA6,0.16897546837761634
nc_EState_VSA7,0.16766354745724485
c_ATS0p,0.16692107726079214
c_ATSC7p,0.16089699900617302
nc_nS,0.1595372260761726
nc_piPC9,0.15790798727668587
nc_VSA_EState2,0.15722130503153747
c_SddssS,0.1552075000032726
nc_ATSC1pe,0.14866802855639133
c_AETA_dBeta,0.14693897407533518
nc_ATSC3v,0.14540661509051256
nc_PEOE_VSA10,0.14521972811319134
nc_TopoShapeIndex,0.14304580283036872
nc_ZMIC1,0.14054993653998474
c_AMID_O,0.13870564742314712
c_ATSC3pe,0.13753285939756404
nc_SdO,0.13649535082818431
nc_JGI6,0.13527600773521167
c_SdsCH,0.13518638466601107
c_ATSC1d,0.1341963503297455
c_ATSC1dv,0.13253279033847246
nc_JGI7,0.13142293621805334
c_AATSC0p,0.13040815249892276
nc_ATS7dv,0.12933125075365395
nc_SssNH,0.12779312334073753
c_ATSC6pe,0.12688762714687943
nc_JGI2,0.1253505298384157
nc_ATSC4p,0.1252212156102869
nc_IC3,0.12444734526141067
c_Mv,0.1236141095732109
nc_JGI8,0.12256468162564332
c_AETA_eta_F,0.12098597109659918
c_IC5,0.1207108532496292
c_ATSC2p,0.12069838921306296
c_ZMIC1,0.12017204544980516
nc_ATSC2pe,0.1187802314659507
c_AETA_eta_L,0.1183411992708382
nc_nAcid,0.11774282761983962
c_SM1_DzZ,0.11742811914576654
nc_AATS0v,0.11577942423975143
nc_WPath,0.11496716645892707
c_SdO,0.11310688432962646
nc_EState_VSA8,0.11119458506710514
nc_ATS8i,0.10987414241102916
nc_ATS4i,0.10853303626542182
nc_ATSC3m,0.10817308781638228
c_IC3,0.10740548257212192
c_ATSC3i,0.10662100867582634
c_piPC2,0.10625819402811286
nc_ATSC2v,0.106041824722062
nc_ATSC3dv,0.10571951077238402
nc_ATSC6v,0.10559362814028199
c_ETA_psi_1,0.1055880359993168
nc_ATSC2Z,0.10512879025353102
nc_VSA_EState4,0.1048709277825063
nc_IC2,0.10453116701338674
c_AETA_eta_FL,0.10328121044262152
c_ZMIC2,0.10281407068788875
c_TIC2,0.10192781982106008
c_Mp,0.10182373860920134
nc_fMF,0.10175426008193811
nc_ZMIC2,0.1017470745322962
nc_ATSC2p,0.10143401895051245
c_AETA_eta,0.1009671169912739
c_nS,0.10094153515977913
nc_ATSC7v,0.1008216381982132
nc_ATS4pe,0.10074061379589067
c_ATSC7v,0.10072408511994016
c_AETA_beta_s,0.09965014017071216
nc_VSA_EState7,0.09934063540295791
nc_ATSC4i,0.09854471019635405
c_VSA_EState9,0.09647845378504949
nc_FCSP3,0.09619180764734898
c_SMR,0.09612866199117452
c_ATSC2Z,0.09610349596160186
c_ATSC5pe,0.09605348634510925
nc_ATS3pe,0.09397821133445083
nc_ATSC0i,0.09382239669384965
nc_PEOE_VSA8,0.09352128588154851
c_ATSC6p,0.0932924198680986
c_AATSC0i,0.09294534217309303
nc_VSA_EState9,0.09278138739656121
nc_SsCH3,0.09246116924737274
nc_ATSC8Z,0.09213325776405228
c_ATSC2dv,0.09118812593822667
c_SlogP_VSA1,0.09068991571767789
nc_SdssC,0.08971943540995055
c_PEOE_VSA1,0.08872254689354994
nc_SIC0,0.08871911099679218
nc_PEOE_VSA2,0.08857022804699109
c_BCUTv-1h,0.0884824356555999
c_VSA_EState2,0.08817049751477209
nc_SMR_VSA1,0.08738868831738837
nc_SaasC,0.08723768989692758
nc_ATSC1v,0.08714190164142546
nc_EState_VSA4,0.08679537722115266
nc_IC1,0.08634544526586195
nc_ATSC3p,0.0855730491031013
nc_ATSC1d,0.08499455369416506
nc_SIC3,0.08435355228501272
nc_JGI5,0.083458992684686
nc_piPC8,0.08333551836003908
c_ETA_epsilon_5,0.0827184229799983
c_ATSC3Z,0.08229986445951398
nc_ATSC5Z,0.0821346230723681
nc_ECIndex,0.08198143941594792
c_ATSC4p,0.08196230017101347
nc_AATSC0p,0.08169744532364419
c_SsCH3,0.08142743949415059
c_AETA_beta_ns,0.08117203259599401
nc_ATSC5dv,0.08097211781448622
c_PEOE_VSA3,0.08022181612819135
c_EState_VSA5,0.0802012079896966
nc_ATSC1Z,0.08010840728904303
c_ETA_shape_y,0.07963550347915525
nc_PEOE_VSA9,0.07929915560493181
nc_VSA_EState5,0.07888501528058692
nc_ATSC6Z,0.07869378346640721
c_BCUTdv-1l,0.07812250290313887
nc_ATSC4Z,0.07780380112561114
nc_ATSC8d,0.0777067205039887
nc_ATSC2m,0.07727939306454747
nc_SddssS,0.07647362741633726
nc_ATSC1m,0.07647023900663269
c_PEOE_VSA4,0.07463625559657382
c_BCUTdv-1h,0.07455691954004286
nc_ATS6i,0.07421208517805924
nc_AATS0dv,0.07377564652773042
c_CIC3,0.0732857423368174
nc_VSA_EState1,0.0732286718630136
c_CIC5,0.07306399362238525
c_NsOH,0.07296955701221852
c_ATSC1v,0.0728699356550367
c_ATSC3m,0.07246822093502277
c_ATSC2v,0.07212562815581124
c_AATS0dv,0.07205388883062293
c_ETA_beta_ns,0.07156251360875118
nc_ATSC4dv,0.07100542304935954
c_ETA_eta_FL,0.07043803664780068
c_AETA_alpha,0.0703153951451612
nc_TSRW10,0.06946235079681745
c_EState_VSA7,0.06943843919880792
c_VSA_EState1,0.06931655972745501
